CompoundID,ChemOntID,ClassifiedResults
71300746,NotAvailable,"Ancestors: [""1,2-aminoalcohols"", ""1-hydroxy-2-unsubstituted benzenoids"", ""Alcohols and polyols"", ""Alkanolamines"", ""Amines"", ""Aralkylamines"", ""Aromatic alcohols"", ""Aryl chlorides"", ""Aryl halides"", ""Azacyclic compounds"", ""Benzene and substituted derivatives"", ""Benzenoids"", ""Benzyl alcohols"", ""Benzylethers"", ""Chemical entities"", ""Chlorobenzenes"", ""Dialkyl ethers"", ""Dialkylamines"", ""Dichlorobenzenes"", ""Diphenylmethanes"", ""Ethers"", ""Halobenzenes"", ""Hydrocarbon derivatives"", ""Organic bromide salts"", ""Organic compounds"", ""Organic nitrogen compounds"", ""Organic oxygen compounds"", ""Organic salts"", ""Organic zwitterions"", ""Organochlorides"", ""Organohalogen compounds"", ""Organoheterocyclic compounds"", ""Organonitrogen compounds"", ""Organooxygen compounds"", ""Organopnictogen compounds"", ""Phenols"", ""Piperidines"", ""Primary alcohols"", ""Quaternary ammonium salts"", ""Quinuclidines"", ""Secondary alcohols"", ""Secondary amines"", ""Tertiary alcohols"", ""Tetraalkylammonium salts""]"
71300746,NotAvailable,"predicted_chebi_terms: [""benzyl ether (CHEBI:59859)"", ""benzyl alcohols (CHEBI:22743)"", ""quinuclidines (CHEBI:26518)"", ""dichlorobenzene (CHEBI:23697)"", ""phenols (CHEBI:33853)"", ""aralkylamine (CHEBI:18000)"", ""organochlorine compound (CHEBI:36683)"", ""piperidines (CHEBI:26151)"", ""quaternary ammonium salt (CHEBI:35273)"", ""tertiary alcohol (CHEBI:26878)"", ""secondary alcohol (CHEBI:35681)"", ""amino alcohol (CHEBI:22478)"", ""secondary amino compound (CHEBI:50995)"", ""ether (CHEBI:25698)"", ""organonitrogen heterocyclic compound (CHEBI:38101)"", ""organic bromide salt (CHEBI:48369)"", ""organic molecule (CHEBI:72695)"", ""primary alcohol (CHEBI:15734)"", ""aromatic alcohol (CHEBI:33854)"", ""zwitterion (CHEBI:27369)"", ""organic molecular entity (CHEBI:50860)"", ""diarylmethane (CHEBI:51614)"", ""chemical entity (CHEBI:24431)"", ""benzenoid aromatic compound (CHEBI:33836)"", ""benzenes (CHEBI:22712)"", ""organic heterocyclic compound (CHEBI:24532)"", ""organohalogen compound (CHEBI:36684)"", ""nitrogen molecular entity (CHEBI:51143)"", ""organonitrogen compound (CHEBI:35352)"", ""amine (CHEBI:32952)"", ""haloarene (CHEBI:50887)"", ""oxygen molecular entity (CHEBI:25806)"", ""organooxygen compound (CHEBI:36963)"", ""polyol (CHEBI:26191)"", ""organic hydroxy compound (CHEBI:33822)"", ""alcohol (CHEBI:30879)"", ""secondary amine (CHEBI:32863)"", ""organic salt (CHEBI:24868)""]"
71300746,NotAvailable,predicted_lipidmaps_terms: []
71300746,NotAvailable,Classification_version: 2.1
71300936,CHEMONTID:0000000,Kingdom: Organic compounds
71300936,CHEMONTID:0000002,Superclass: Organoheterocyclic compounds
71300936,CHEMONTID:0000160,Class: Lactams
71300936,CHEMONTID:0000162,Subclass: Beta lactams
71300936,CHEMONTID:0000172,Intermediate_nodes: Penams
71300936,CHEMONTID:0000174,Direct_parent: Penicillins
71300936,CHEMONTID:0001189,alternative_parents: N-acyl-alpha amino acids and derivatives
71300936,CHEMONTID:0002309,alternative_parents: Alpha amino acid amides
71300936,CHEMONTID:0002363,alternative_parents: Phenylacetamides
71300936,CHEMONTID:0003899,alternative_parents: Aralkylamines
71300936,CHEMONTID:0000003,alternative_parents: Thiepanes
71300936,CHEMONTID:0000233,alternative_parents: Thiolanes
71300936,CHEMONTID:0000226,alternative_parents: Thiazolidines
71300936,CHEMONTID:0001664,alternative_parents: Tertiary carboxylic acid amides
71300936,CHEMONTID:0000505,alternative_parents: Sulfones
71300936,CHEMONTID:0004176,alternative_parents: Amino acids
71300936,CHEMONTID:0000118,alternative_parents: Ketones
71300936,CHEMONTID:0001166,alternative_parents: Carboxylic acid salts
71300936,CHEMONTID:0000102,alternative_parents: Azetidines
71300936,CHEMONTID:0001663,alternative_parents: Secondary carboxylic acid amides
71300936,CHEMONTID:0002452,alternative_parents: Tertiary amines
71300936,CHEMONTID:0001137,alternative_parents: Monocarboxylic acids and derivatives
71300936,CHEMONTID:0003862,alternative_parents: Dialkylthioethers
71300936,CHEMONTID:0001205,alternative_parents: Carboxylic acids
71300936,CHEMONTID:0001666,alternative_parents: Thiohemiaminal derivatives
71300936,CHEMONTID:0004139,alternative_parents: Azacyclic compounds
71300936,CHEMONTID:0003610,alternative_parents: Organic zwitterions
71300936,CHEMONTID:0003928,alternative_parents: Organic sodium salts
71300936,CHEMONTID:0003940,alternative_parents: Organic oxides
71300936,CHEMONTID:0000469,alternative_parents: Monoalkylamines
71300936,CHEMONTID:0004150,alternative_parents: Hydrocarbon derivatives
71300936,NotAvailable,"Substituents: [""Penicillin"", ""N-acyl-alpha amino acid or derivatives"", ""Alpha-amino acid amide"", ""Alpha-amino acid or derivatives"", ""Phenylacetamide"", ""Thiepane"", ""Aralkylamine"", ""Monocyclic benzene moiety"", ""Benzenoid"", ""Sulfone"", ""Tertiary carboxylic acid amide"", ""Thiazolidine"", ""Thiolane"", ""Azetidine"", ""Carboxamide group"", ""Carboxylic acid salt"", ""Ketone"", ""Amino acid"", ""Secondary carboxylic acid amide"", ""Tertiary amine"", ""Amino acid or derivatives"", ""Organic alkali metal salt"", ""Hemithioaminal"", ""Thioether"", ""Azacycle"", ""Dialkylthioether"", ""Carboxylic acid derivative"", ""Carboxylic acid"", ""Monocarboxylic acid or derivatives"", ""Organic nitrogen compound"", ""Primary aliphatic amine"", ""Organic zwitterion"", ""Organic sodium salt"", ""Organonitrogen compound"", ""Organooxygen compound"", ""Organic oxide"", ""Organic oxygen compound"", ""Amine"", ""Hydrocarbon derivative"", ""Primary amine"", ""Organic salt"", ""Carbonyl group"", ""Aromatic heteropolycyclic compound""]"
71300936,NotAvailable,External_descriptors: []
71300936,NotAvailable,"Ancestors: [""Alpha amino acid amides"", ""Alpha amino acids and derivatives"", ""Amines"", ""Amino acids"", ""Amino acids and derivatives"", ""Amino acids, peptides, and analogues"", ""Aralkylamines"", ""Azacyclic compounds"", ""Azetidines"", ""Azolidines"", ""Benzene and substituted derivatives"", ""Benzenoids"", ""Beta lactams"", ""Carbonyl compounds"", ""Carboxylic acid amides"", ""Carboxylic acid derivatives"", ""Carboxylic acid salts"", ""Carboxylic acids"", ""Carboxylic acids and derivatives"", ""Chemical entities"", ""Dialkylthioethers"", ""Hydrocarbon derivatives"", ""Ketones"", ""Lactams"", ""Monoalkylamines"", ""Monocarboxylic acids and derivatives"", ""N-acyl-alpha amino acids and derivatives"", ""Organic acids and derivatives"", ""Organic alkali metal salts"", ""Organic compounds"", ""Organic metal salts"", ""Organic nitrogen compounds"", ""Organic oxides"", ""Organic oxygen compounds"", ""Organic salts"", ""Organic sodium salts"", ""Organic zwitterions"", ""Organoheterocyclic compounds"", ""Organonitrogen compounds"", ""Organooxygen compounds"", ""Organosulfur compounds"", ""Penams"", ""Penicillins"", ""Phenylacetamides"", ""Primary amines"", ""Secondary carboxylic acid amides"", ""Sulfones"", ""Sulfonyls"", ""Tertiary amines"", ""Tertiary carboxylic acid amides"", ""Thiazolidines"", ""Thiepanes"", ""Thioethers"", ""Thiohemiaminal derivatives"", ""Thiolanes""]"
71300936,NotAvailable,"predicted_chebi_terms: [""N-acyl-amino acid (CHEBI:51569)"", ""amino acid amide (CHEBI:22475)"", ""acetamides (CHEBI:22160)"", ""aralkylamine (CHEBI:18000)"", ""organosulfur heterocyclic compound (CHEBI:38106)"", ""tetrahydrothiophenes (CHEBI:48224)"", ""thiazolidines (CHEBI:35622)"", ""carboxamide (CHEBI:37622)"", ""sulfone (CHEBI:35850)"", ""amino acid (CHEBI:33709)"", ""ketone (CHEBI:17087)"", ""organic salt (CHEBI:24868)"", ""azetidines (CHEBI:38777)"", ""tertiary amine (CHEBI:32876)"", ""monocarboxylic acid (CHEBI:25384)"", ""aliphatic sulfide (CHEBI:22327)"", ""carboxylic acid (CHEBI:33575)"", ""organosulfur compound (CHEBI:33261)"", ""organonitrogen heterocyclic compound (CHEBI:38101)"", ""zwitterion (CHEBI:27369)"", ""organic molecular entity (CHEBI:50860)"", ""organic sodium salt (CHEBI:38700)"", ""organic oxide (CHEBI:25701)"", ""alkylamine (CHEBI:13759)"", ""organic molecule (CHEBI:72695)"", ""penicillin (CHEBI:17334)"", ""chemical entity (CHEBI:24431)"", ""organic acid (CHEBI:64709)"", ""carbonyl compound (CHEBI:36586)"", ""organonitrogen compound (CHEBI:35352)"", ""organooxygen compound (CHEBI:36963)"", ""benzenoid aromatic compound (CHEBI:33836)"", ""benzenes (CHEBI:22712)"", ""nitrogen molecular entity (CHEBI:51143)"", ""amine (CHEBI:32952)"", ""organic heterocyclic compound (CHEBI:24532)"", ""amide (CHEBI:32988)"", ""oxygen molecular entity (CHEBI:25806)"", ""organic sulfide (CHEBI:16385)"", ""alkali metal salt (CHEBI:35479)"", ""primary amine (CHEBI:32877)"", ""lactam (CHEBI:24995)"", ""beta-lactam (CHEBI:35627)"", ""penams (CHEBI:35992)"", ""carboxylic acid anion (CHEBI:29067)"", ""peptide (CHEBI:16670)""]"
71300936,NotAvailable,predicted_lipidmaps_terms: []
71300936,NotAvailable,Classification_version: 2.1
71301229,CHEMONTID:0000000,Kingdom: Organic compounds
71301229,CHEMONTID:0000289,"Superclass: Nucleosides, nucleotides, and analogues"
71301229,CHEMONTID:0004502,Class: 5'-deoxyribonucleosides
71301229,CHEMONTID:0004502,Direct_parent: 5'-deoxyribonucleosides
71301229,CHEMONTID:0002203,alternative_parents: Glycosylamines
71301229,CHEMONTID:0000291,alternative_parents: Pyrimidones
71301229,CHEMONTID:0001893,alternative_parents: Halopyrimidines
71301229,CHEMONTID:0001031,alternative_parents: Aryl fluorides
71301229,CHEMONTID:0000346,alternative_parents: Dicarboxylic acids and derivatives
71301229,CHEMONTID:0002202,alternative_parents: Hydropyrimidines
71301229,CHEMONTID:0003886,alternative_parents: Imidolactams
71301229,CHEMONTID:0001162,alternative_parents: Carbamate esters
71301229,CHEMONTID:0001967,alternative_parents: Oxolanes
71301229,CHEMONTID:0004144,alternative_parents: Heteroaromatic compounds
71301229,CHEMONTID:0002467,"alternative_parents: 1,2-diols"
71301229,CHEMONTID:0001661,alternative_parents: Secondary alcohols
71301229,CHEMONTID:0001166,alternative_parents: Carboxylic acid salts
71301229,CHEMONTID:0004140,alternative_parents: Oxacyclic compounds
71301229,CHEMONTID:0001205,alternative_parents: Carboxylic acids
71301229,CHEMONTID:0004139,alternative_parents: Azacyclic compounds
71301229,CHEMONTID:0002285,alternative_parents: Carboximidic acids and derivatives
71301229,CHEMONTID:0003633,"alternative_parents: Propargyl-type 1,3-dipolar organic compounds"
71301229,CHEMONTID:0003997,alternative_parents: Organic transition metal salts
71301229,CHEMONTID:0004491,alternative_parents: Organic metal halides
71301229,CHEMONTID:0004150,alternative_parents: Hydrocarbon derivatives
71301229,CHEMONTID:0003610,alternative_parents: Organic zwitterions
71301229,CHEMONTID:0001517,alternative_parents: Organofluorides
71301229,CHEMONTID:0000278,alternative_parents: Organonitrogen compounds
71301229,CHEMONTID:0001831,alternative_parents: Carbonyl compounds
71301229,CHEMONTID:0003940,alternative_parents: Organic oxides
71301229,NotAvailable,"Substituents: [""5'-deoxyribonucleoside"", ""Glycosyl compound"", ""N-glycosyl compound"", ""Halopyrimidine"", ""Pyrimidone"", ""Aryl fluoride"", ""Aryl halide"", ""Dicarboxylic acid or derivatives"", ""Hydropyrimidine"", ""Pyrimidine"", ""Imidolactam"", ""Heteroaromatic compound"", ""Oxolane"", ""Carbamic acid ester"", ""Carboxylic acid salt"", ""1,2-diol"", ""Secondary alcohol"", ""Oxacycle"", ""Azacycle"", ""Organic transition metal salt"", ""Organoheterocyclic compound"", ""Carboximidic acid derivative"", ""Carboxylic acid derivative"", ""Carboxylic acid"", ""Organic metal halide"", ""Organic 1,3-dipolar compound"", ""Propargyl-type 1,3-dipolar organic compound"", ""Organic oxygen compound"", ""Organic nitrogen compound"", ""Carbonyl group"", ""Organic salt"", ""Organohalogen compound"", ""Organofluoride"", ""Organonitrogen compound"", ""Organooxygen compound"", ""Hydrocarbon derivative"", ""Alcohol"", ""Organic oxide"", ""Organic zwitterion"", ""Aromatic heteromonocyclic compound""]"
71301229,NotAvailable,External_descriptors: []
71301229,NotAvailable,"Ancestors: [""1,2-diols"", ""5'-deoxyribonucleosides"", ""Alcohols and polyols"", ""Amino acids and derivatives"", ""Amino acids, peptides, and analogues"", ""Aryl fluorides"", ""Aryl halides"", ""Azacyclic compounds"", ""Carbamate esters"", ""Carbamic acids and derivatives"", ""Carbohydrates and carbohydrate conjugates"", ""Carbonyl compounds"", ""Carboximidic acids and derivatives"", ""Carboxylic acid derivatives"", ""Carboxylic acid salts"", ""Carboxylic acids"", ""Carboxylic acids and derivatives"", ""Chemical entities"", ""Diazines"", ""Dicarboxylic acids and derivatives"", ""Glycosyl compounds"", ""Glycosylamines"", ""Halopyrimidines"", ""Heteroaromatic compounds"", ""Hydrocarbon derivatives"", ""Hydropyrimidines"", ""Imidolactams"", ""Nucleosides, nucleotides, and analogues"", ""Organic 1,3-dipolar compounds"", ""Organic acids and derivatives"", ""Organic compounds"", ""Organic metal halides"", ""Organic metal salts"", ""Organic nitrogen compounds"", ""Organic oxides"", ""Organic oxygen compounds"", ""Organic salts"", ""Organic transition metal salts"", ""Organic zwitterions"", ""Organofluorides"", ""Organohalogen compounds"", ""Organoheterocyclic compounds"", ""Organonitrogen compounds"", ""Organooxygen compounds"", ""Organopnictogen compounds"", ""Oxacyclic compounds"", ""Oxolanes"", ""Polyols"", ""Propargyl-type 1,3-dipolar organic compounds"", ""Pyrimidines and pyrimidine derivatives"", ""Pyrimidones"", ""Secondary alcohols""]"
71301229,NotAvailable,"predicted_chebi_terms: [""N-glycosyl compound (CHEBI:21731)"", ""pyrimidone (CHEBI:38337)"", ""pyrimidines (CHEBI:39447)"", ""organohalogen compound (CHEBI:36684)"", ""organofluorine compound (CHEBI:37143)"", ""dicarboxylic acid (CHEBI:35692)"", ""heterocyclic compound (CHEBI:5686)"", ""dicarboximide (CHEBI:35356)"", ""organosulfur compound (CHEBI:33261)"", ""carbamate ester (CHEBI:23003)"", ""oxolanes (CHEBI:26912)"", ""organic aromatic compound (CHEBI:33659)"", ""polyol (CHEBI:26191)"", ""secondary alcohol (CHEBI:35681)"", ""organic salt (CHEBI:24868)"", ""oxacycle (CHEBI:38104)"", ""carboxylic acid (CHEBI:33575)"", ""organonitrogen heterocyclic compound (CHEBI:38101)"", ""organonitrogen compound (CHEBI:35352)"", ""dipolar compound (CHEBI:51151)"", ""transition element molecular entity (CHEBI:33497)"", ""organic molecular entity (CHEBI:50860)"", ""halide (CHEBI:37578)"", ""organic molecule (CHEBI:72695)"", ""zwitterion (CHEBI:27369)"", ""carbonyl compound (CHEBI:36586)"", ""organic oxide (CHEBI:25701)"", ""deoxyribonucleoside (CHEBI:23636)"", ""chemical entity (CHEBI:24431)"", ""oxygen molecular entity (CHEBI:25806)"", ""organooxygen compound (CHEBI:36963)"", ""carbohydrates and carbohydrate derivatives (CHEBI:78616)"", ""glycoside (CHEBI:24400)"", ""organic heterocyclic compound (CHEBI:24532)"", ""diazines (CHEBI:38313)"", ""haloarene (CHEBI:50887)"", ""organic acid (CHEBI:64709)"", ""carbon oxoacid (CHEBI:35605)"", ""organic hydroxy compound (CHEBI:33822)"", ""alcohol (CHEBI:30879)"", ""nitrogen molecular entity (CHEBI:51143)"", ""nucleobase-containing molecular entity (CHEBI:61120)"", ""carboxylic acid anion (CHEBI:29067)"", ""amino acid (CHEBI:33709)"", ""peptide (CHEBI:16670)""]"
71301229,NotAvailable,"predicted_lipidmaps_terms: [""Dicarboxylic acids (FA0117)""]"
71301229,NotAvailable,Classification_version: 2.1
71301261,CHEMONTID:0000000,Kingdom: Organic compounds
71301261,CHEMONTID:0004603,Superclass: Organic oxygen compounds
71301261,CHEMONTID:0000323,Class: Organooxygen compounds
71301261,CHEMONTID:0000011,Subclass: Carbohydrates and carbohydrate conjugates
